Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Barbados,BRB,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,35.75664902,40.43973923,39.42770004,35.7502594,,,,,,,,,,,,,,,,72.90802002,69.18207,69.59847,78.16257,78.82321,80.71399,83.63339,87.21137,83.57843,80.23539,81.72896,78.36636,76.26544,,,88.21529,90.86103,88.44665,89.45107,86.82879,
Brunei Darussalam,BRN,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,40.40404129,40.32476044,41.76688004,41.96902847,42.8611412,44.26797104,43.51486969,46.92353058,44.07141113,45.10028839,,46.79005051,49.0677681,57.39101028,51.14048004,52.13502884,54.00305176,54.76190186,52.11080933,52.55183029,46.90979,47.72426,53.2315,54.19314,57.69735,58.82584,57.77284,58.50693,59.71991,66.27777,67.18726,68.27597,69.62833,69.96243,70.73132,69.33382,68.42105,67.02703,64.79933,
Bhutan,BTN,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,,,,,,,,,,,,1.408280015,,,1.099850059,0.886520028,1.11885,,,,1.74925,1.40936,,0.74983,1.04196,1.30693,2.40819,5.62567,9.67018,14.47771,18.68845,22.84408,28.03352,28.97914,34.44237,
Botswana,BWA,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,15.95044,16.5446,15.235,17.13069,16.8414,,,14.64902,17.52325,20.00521,21.44787,,,,
Central African Republic,CAF,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,4.978199959,,,,,,4.700600147,4.624790192,,,5.78305006,,,,,,,,,,,,1.6809,,3.26189,3.21865,3.15003,3.83812,4.16633,,5.08724,,,,,,2.92555,,
Canada,CAN,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,52.84177017,55.78458023,54.93178177,55.9093895,55.93999863,57.16405869,57.84751892,58.33145905,59.05207825,59.86035156,62.12244034,61.16305161,62.50115967,61.72969818,62.70170975,63.93236923,64.44081879,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,61.7967186,62.3568306,60.73323059,59.28784943,57.81359863,58.25086975,58.70296097,59.58333969,60.99108887,62.22367859,61.21533966,58.38145065,54.15914154,52.90991974,51.90119934,53.87110901,55.41141891,56.74652863,58.19849014,61.25511932,62.42065811,63.10456085,64.4673233,66.90725708,68.73458099,70.89370728,72.37223816,73.86360168,74.58796692,76.19754028,78.32782,80.30953,81.84148,83.74801,84.02533,84.013,83.77441,84.22656,84.26384,
Switzerland,CHE,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,74.55548096,77.1437912,78.93079376,82.06790161,83.15854645,85.24472809,87.48490143,89.9546814,92.15484619,91.2978363,90.49279022,90.92138672,90.3807373,92.77198792,94.61666107,96.94098663,97.4462204,,95.06493378,92.65171814,92.39848,91.89126,92.86028,94.0804,94.7563,98.37715,90.29099,90.03918,90.44961,99.30406,99.099.3,99.87362,99.41808,99.8348,99.4589,100.9446,99.0068,99.589,,
Channel Islands,CHI,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,69.00171661,69.05223846,72.29736328,,68.26602173,78.09620667,80.8422699,,83.05120087,80.9821167,82.66731262,75.68036652,87.31070709,90.66819,91.54453278,97.48017883,99.05986786,,74.35175323,77.58502197,78.97057,,77.83904,75.21954,77.73395,81.80958,81.91054,84.01844,83.64179,86.41861,99.1562,99.2823,99.302,79.03,81.71444,82.34609,82.36523,81.76367,,
China,CHN,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,9.103899956,12.40631962,11.99475002,13.40050983,14.49168015,16.89035034,19.47879028,21.02293015,22.43302917,21.92033005,20.91724014,21.48073006,22.68738937,23.49319077,23.62886047,24.58620071,25.96795082,27.4684391,40.81071091,44.90832138,44.85822,44.70245,40.0533,39.19936,,,42.55637,44.78932,47.09227,50.15158,53.66678,59.92233,68.3507,72.77946,76.07127,78.65605,82.36118,84.79782,88.09341,
Cote d'Ivoire,CIV,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,0.764389992,0.75523001,0.785130024,0.782559991,0.77917999,0.858139992,0.83415997,0.889490008,1.003540039,1.066210032,1.084699988,0.982500017,0.919359982,1.428030014,1.736660004,1.932060003,2.268340111,2.285200119,2.407579899,2.384520054,2.55058,2.6633,2.75623,2.93406,,,3.04814,2.90746,2.8701,3.44108,,3.93747,4.69799,5.64322,6.4557,7.05883,7.75951,8.15109,8.2043,
Cameroon,CMR,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,6.807199955,7.297719955,6.897659779,6.838620186,8.914859772,10.49584007,11.01132965,12.08679008,12.5968504,12.2228899,11.96821976,11.75498962,11.43595028,11.11398029,10.53322983,10.32596016,,9.506640434,9.802490234,10.92669964,12.67802,12.83806,13.23292,13.57888,16.85856,18.13272,17.85216,19.24243,22.58843,23.84257,25.4624,26.65805,29.65908,,33.87899,37.04923,38.65507,35.88374,34.46434,
